spotify_track_uri,image_url
0fLILzjVXRCLC0lsNKcQ8I,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae
4jdtLLyEL7wY0TlCdMKhxq,https://i.scdn.co/image/ab67616d0000b273c51563a479fa5a4917311197
6Vcwr9tb3ZLO63F8DL8cqu,https://i.scdn.co/image/ab67616d0000b27372ca15b8637acbc7d15ff5ba
5eIMjbdovLpRzldfIdhKn3,https://i.scdn.co/image/ab67616d0000b273b1aa6ce113de70498eb295da
5VErNsWF69eD0HiBt2vWcH,https://i.scdn.co/image/ab67616d0000b273be7a3a1e2d663eea2918e5a3
5HNCy40Ni5BZJFw1TKzRsC,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf
7rpUsVjQyitDQ27NRybgZl,https://i.scdn.co/image/ab67616d0000b273580abb98fc826cfe362a65cb
76TZCvJ8GitQ2FA1q5dKu0,https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f
0nOF9ewQlwzVU0qKPR2DTq,https://i.scdn.co/image/ab67616d0000b273580abb98fc826cfe362a65cb
1LLWePORuf78aYlTpSsduc,https://i.scdn.co/image/ab67616d0000b27337a4208dc0fb7b1f7d6b6b56
4BM8yJ0PzBi2ZewpMTOxtx,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0
2ExEChLCSorn4k3FUxs7td,
4c3UlxxMNcLXzlpnqv77NZ,https://i.scdn.co/image/ab67616d0000b273da05e4b5b2c8987d49be365c
3nSiB5WCF2pmRQrYSsteHv,https://i.scdn.co/image/ab67616d0000b27360c84f44c080824ce336e1a1
4bEb3KE4mSKlTFjtWJQBqO,https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7
4QSxcUAwEx5sFitOKZfQDN,https://i.scdn.co/image/ab67616d0000b27376b28d3383d44759a5859f63
0xT6kz73bjqkEqeIAcbuok,https://i.scdn.co/image/ab67616d0000b273ec84e8c841f9ef4d69981370
5Q41NLTmGbVPozwHKK7bk2,https://i.scdn.co/image/ab67616d0000b273c8e5391a619e9e8ea2162073
42KZ8Ico4auwb8jSijJtI1,https://i.scdn.co/image/ab67616d0000b273d23ee05e1a08e00b3b78c563
1is5wwajEk2JW7Nsd63r3m,https://i.scdn.co/image/ab67616d0000b27343f35e1d509782bdcf30501e
7fUMMlG7qYfpIzi5YnsSpi,https://i.scdn.co/image/ab67616d0000b2730b4c9d84cc83626849bfbff0
1NYTj6JEw3IOh4ggiBh82h,https://i.scdn.co/image/ab67616d0000b273c51563a479fa5a4917311197
64GMkUhGX3gp18F1tajKXg,https://i.scdn.co/image/ab67616d0000b27330cfd1f4e913506fbe6960ac
7Id8Qi0oQMV8J78fdtuZxo,https://i.scdn.co/image/ab67616d0000b273b11078ee23dcd99e085ac33e
0VBKbgt7Q8fvR4B5DrvVph,https://i.scdn.co/image/ab67616d0000b27308bd22fc893cef03f101a703
6lTTzSk1hRrxp4VMwXBp2l,https://i.scdn.co/image/ab67616d0000b273b19cb81319fbfd9ed54baeae
4VFGpluBaU1WcquEMzhSz6,https://i.scdn.co/image/ab67616d0000b273779063301154e835a91a35e0
57bgtoPSgt236HzfBOd8kj,https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508
3EgPJLJfwWpS2d9aZqe4dT,https://i.scdn.co/image/ab67616d0000b273e69575626ceded395d1b06f6
6jpGOHqUjLhWkrkzvJUdqq,https://i.scdn.co/image/ab67616d0000b273793cc153f6103fdab8cb4c34
4cI2rd2D44mBjwUVFxTkUZ,https://i.scdn.co/image/ab67616d0000b273821f9ed6ab928153f2219512
